source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W
3041	2212.6145	1414.7076	0.355	30.8845	0.2237	0.008792485375023992	0.001811474181784531	4.853773497540154	0.002725680399170221																																																
18014	8118.7402	5599.646	0.347	99.0	99.0	-0.000568923577888571	0.001814246204720235	-0.31358675377595824	0.0019222201425892946																																																
3745	1447.5105	1594.9606	0.351	30.355	0.1375	0.014319511534659568	0.0018128601932523832	7.898850439740463	0.0023136806575036785																																																
9143	6155.7988	3023.3645	0.355	32.2239	0.7687	0.0025606133801585594	0.0018123985750756943	1.4128312697727738	0.0031252257147645775																																																
13187	7389.2085	4034.3809	0.36	30.5169	0.1596	0.012335073996902292	0.0018123985750756943	6.80593891792655	0.0028892655172981794																																																
3305	2403.0591	1504.3069	0.389	30.9089	0.2292	0.008597552927429343	0.0018147078228969234	4.737706433482262	0.002708032453644386																																																
15737	8188.8218	4961.7822	0.347	32.0535	0.6571	0.002995967912162947	0.0018128601932523832	1.652619392997976	0.0018358615265134277																																																
17997	9100.334	6000.5439	0.352	99.0	99.0	-0.003007559271842755	0.0018147078228969234	-1.6573242446498155	0.0028640189818645973																																																
8340	6663.1875	2801.6868	0.347	99.0	99.0	-0.003297880082970738	0.0018119357999612196	-1.8200866073959803	0.003642441768230862																																																
9066	3504.1301	2992.8315	0.359	30.9127	0.2299	0.008567481800490771	0.0018133218114290718	4.724744249195774	0.0027304302803053083																																																
426	805.9287	533.2385	0.946	26.9453	0.0059	0.3309820837861975	0.0018123985750756943	182.6210240605459	0.0027792627521485884																																																
15910	6684.1953	5014.8413	0.336	31.6194	0.4408	0.004468356355131712	0.00181378342960576	2.463555616506511	0.0021998209040615673																																																
669	4190.8511	609.4333	0.347	99.0	99.0	-0.00088661325636793	0.00181378342960576	-0.4888198016896881	0.003362280472075776																																																
5596	8370.1748	2033.5945	0.348	99.0	99.0	-0.0013614867006604505	0.0018128601932523832	-0.7510158288697703	0.0031389049550620365																																																
10350	9343.0264	3302.9189	0.348	31.4878	0.3903	0.005044224452081871	0.0018128601932523832	2.7824674350823604	0.0030406091805328804																																																
