NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO
16761,1064.6295,5426.0439,215.1221735,52.9969618,0.019,F277W,4.875199e-09,2.396809e-05,0.00020340373388117285,0.0,0.0,0.0,0.00020340373388117285,
16761,1064.6295,5426.0439,215.1221735,52.9969618,0.019,F356W,4.568547,0.009030609,505.8957817795012,0.0,0.0,0.0,505.8957817795012,
16761,1064.6295,5426.0439,215.1221735,52.9969618,0.019,F410M,1.231514e-09,3.335646e-05,3.691980503926376e-05,0.0,0.0,0.0,3.691980503926376e-05,
16761,1064.6295,5426.0439,215.1221735,52.9969618,0.019,F444W,8.061083e-09,1.984935e-05,0.0004061131976613844,0.0,0.0,0.0,0.0004061131976613844,
7741,2692.4492,2605.5044,215.1371957,52.9713753,0.954,F606W,0.4410579,0.04568122,9.655125235271738,0.013956718983667044,0.0028947913635518634,4.821321204489974,4.8338040307817645,2.0025890882939237
7741,2692.4492,2605.5044,215.1371957,52.9713753,0.954,F814W,0.4867425,0.02787284,17.46296753398649,0.0,0.0,0.0,17.46296753398649,
7741,2692.4492,2605.5044,215.1371957,52.9713753,0.954,F115W,3.695425,0.06160164,59.98906847285235,0.0,0.0,0.0,59.98906847285235,
7741,2692.4492,2605.5044,215.1371957,52.9713753,0.954,F150W,4.864687,0.0002799026,17379.927874910773,0.0,0.0,0.0,17379.927874910773,
7741,2692.4492,2605.5044,215.1371957,52.9713753,0.954,F200W,5.341529,0.0001986099,26894.57574874163,0.0,0.0,0.0,26894.57574874163,
7741,2692.4492,2605.5044,215.1371957,52.9713753,0.954,F277W,5.462774,0.0001459016,37441.49481568399,0.0,0.0,0.0,37441.49481568399,
7741,2692.4492,2605.5044,215.1371957,52.9713753,0.954,F356W,4.32593,0.05497227,78.69294828101513,0.0,0.0,0.0,78.69294828101513,
7741,2692.4492,2605.5044,215.1371957,52.9713753,0.954,F410M,2.782211,0.0002030517,13701.983288000052,0.0,0.0,0.0,13701.983288000052,
7741,2692.4492,2605.5044,215.1371957,52.9713753,0.954,F444W,2.872773,0.0001208295,23775.427358385165,0.0,0.0,0.0,23775.427358385165,
11171,2986.9509,3511.665,215.1250176,52.974419,0.968,F606W,4.997035,0.07642703,65.38308501586415,0.12280177298947718,0.0023001122931519706,53.38946857294309,11.993616442921066,1.2246438626099987
11171,2986.9509,3511.665,215.1250176,52.974419,0.968,F814W,3.402714,0.04663268,72.96844187381038,0.0,0.0,0.0,72.96844187381038,
11171,2986.9509,3511.665,215.1250176,52.974419,0.968,F115W,30.27282,0.1030627,293.7320679547499,0.0,0.0,0.0,293.7320679547499,
11171,2986.9509,3511.665,215.1250176,52.974419,0.968,F150W,47.51465,0.0004682915,101463.83182270019,0.0,0.0,0.0,101463.83182270019,
11171,2986.9509,3511.665,215.1250176,52.974419,0.968,F200W,60.10239,0.0003322845,180876.297269358,0.0,0.0,0.0,180876.297269358,
11171,2986.9509,3511.665,215.1250176,52.974419,0.968,F277W,58.55005,0.0002441009,239860.03328951265,0.0,0.0,0.0,239860.03328951265,
11171,2986.9509,3511.665,215.1250176,52.974419,0.968,F356W,52.70916,0.09197143,573.1036257672627,0.0,0.0,0.0,573.1036257672627,
11171,2986.9509,3511.665,215.1250176,52.974419,0.968,F410M,54.73748,0.0003397159,161127.22424826154,0.0,0.0,0.0,161127.22424826154,
11171,2986.9509,3511.665,215.1250176,52.974419,0.968,F444W,56.45776,0.000202154,279280.94423063606,0.0,0.0,0.0,279280.94423063606,
1095,5077.064,712.0222,215.1356543,52.9460181,1.0,F606W,-0.005306471,0.009190871,-0.5773632335825408,-0.004528089053032548,0.003548263304906115,-1.2761423445581523,0.6987791109756115,
1095,5077.064,712.0222,215.1356543,52.9460181,1.0,F814W,0.004670731,0.005607898,0.8328844426200334,0.0,0.0,0.0,0.8328844426200334,
1095,5077.064,712.0222,215.1356543,52.9460181,1.0,F115W,-0.06831783,0.01239399,-5.512174045646317,0.0,0.0,0.0,-5.512174045646317,
1095,5077.064,712.0222,215.1356543,52.9460181,1.0,F150W,0.04799962,5.631524e-05,852.338017204579,0.0,0.0,0.0,852.338017204579,
1095,5077.064,712.0222,215.1356543,52.9460181,1.0,F200W,0.05393567,3.995948e-05,1349.7590559236505,0.0,0.0,0.0,1349.7590559236505,
1095,5077.064,712.0222,215.1356543,52.9460181,1.0,F277W,-8.272898e-05,2.93548e-05,-2.8182436943872893,0.0,0.0,0.0,-2.8182436943872893,
1095,5077.064,712.0222,215.1356543,52.9460181,1.0,F356W,0.3377459,0.01106019,30.537079381095623,0.0,0.0,0.0,30.537079381095623,
1095,5077.064,712.0222,215.1356543,52.9460181,1.0,F410M,-0.0001413826,4.085315e-05,-3.460751496518628,0.0,0.0,0.0,-3.460751496518628,
1095,5077.064,712.0222,215.1356543,52.9460181,1.0,F444W,7.15728e-05,2.43104e-05,2.944122680005265,0.0,0.0,0.0,2.944122680005265,
561,3303.4014,570.3922,215.1530925,52.9564806,1.0,F606W,0.02232128,0.02278919,0.9794678968405633,0.0032180398063459724,0.003361148715781604,0.9574226190100746,0.022045277830488708,1.023025649689875
561,3303.4014,570.3922,215.1530925,52.9564806,1.0,F814W,0.0134649,0.01390504,0.9683467289558318,0.0,0.0,0.0,0.9683467289558318,
561,3303.4014,570.3922,215.1530925,52.9564806,1.0,F115W,0.1662456,0.03073148,5.40961906162671,0.0,0.0,0.0,5.40961906162671,
561,3303.4014,570.3922,215.1530925,52.9564806,1.0,F150W,-0.1172284,0.0001396362,-839.5272859043715,0.0,0.0,0.0,-839.5272859043715,
