NUMBER,X_IMAGE,Y_IMAGE,MAG_AUTO,MAGERR_AUTO,MAG_APER,MAGERR_APER,CLASS_STAR,FLUX_AUTO,FLUXERR_AUTO,FLUX_APER,FLUXERR_APER,ALPHA_J2000,DELTA_J2000,SNR,pointing
11627,3128.4199,4096.1724,29.8074,0.1033,29.8162,0.1051,0.353,0.2049589,0.01949017,0.2032904,0.0196816,214.8042092,52.873458,10.516013970119296,nircam3
11739,5959.8623,4211.4722,29.7434,0.0719,29.5489,0.0822,0.219,0.2173993,0.01439444,0.2600339,0.01969162,214.7777295,52.8560765,15.103005049171763,nircam3
11803,2291.5286,4307.3774,28.3974,0.0473,28.8725,0.0441,0.029,0.7510188,0.03271901,0.4848564,0.01969162,214.8094564,52.8799161,22.95359181099917,nircam3
11816,107.9928,4309.8682,28.2245,0.0465,29.4111,0.0724,0.207,0.8806738,0.0376935,0.2952456,0.01967659,214.8289332,52.8938081,23.364076034329525,nircam3
11820,7680.4121,4282.166,27.3374,0.0279,28.3604,0.0275,0.0,1.993724,0.05118203,0.7770174,0.01967659,214.7616425,52.845515,38.95359367340451,nircam3
11821,1924.3514,4073.99,29.8939,0.1168,29.7758,0.1013,0.19,0.1892601,0.02035682,0.2110047,0.01968661,214.8151934,52.8809924,9.297134817717108,nircam3
11835,1271.4692,3916.9402,29.4675,0.0985,29.7689,0.1007,0.354,0.2803012,0.02542178,0.2123555,0.01969162,214.8226784,52.8842957,11.026025714957802,nircam3
11852,5986.6729,4149.1934,29.3728,0.0692,29.361,0.0691,0.06,0.305832,0.01949017,0.3091787,0.01966655,214.7781462,52.8555706,15.691602484739741,nircam3
11853,1428.4828,4287.0254,29.787,0.08,29.8406,0.1075,0.749,0.2088335,0.01538831,0.1987702,0.01967659,214.8173779,52.8852923,13.570918443935689,nircam3
11883,10290.7031,4088.6624,29.5244,0.0856,29.3428,0.0681,0.347,0.2659799,0.02095392,0.3144058,0.01970665,214.7404184,52.8278689,12.693562827385042,nircam3
11885,7450.6968,4313.9009,30.3866,0.1419,30.3907,0.179,0.548,0.1202171,0.01570563,0.1197686,0.01973667,214.7633563,52.8471469,7.654395270995177,nircam3
11888,8184.3389,4454.3589,28.2454,0.0442,28.7484,0.0393,0.08,0.8638513,0.03518901,0.54357,0.01967659,214.755337,52.8432368,24.548894669102655,nircam3
11893,2366.7639,4120.8032,30.2487,0.1145,29.934,0.1172,0.508,0.1365023,0.01439444,0.1824004,0.01968661,214.8107498,52.8784325,9.482987875874295,nircam3
11936,9084.8135,3981.7244,28.6845,0.0547,29.3996,0.0717,0.087,0.5764965,0.02904479,0.2983744,0.01968661,214.7522886,52.8349645,19.848533936723246,nircam3
11988,8116.9692,4257.9663,27.4514,0.026,28.0242,0.0202,0.0,1.794969,0.04289678,1.059045,0.01968661,214.7580057,52.842608,41.84390996247271,nircam3
12048,2264.8145,4162.959,29.3906,0.0761,29.3904,0.071,0.388,0.3008517,0.02107131,0.3009113,0.01968661,214.8112161,52.8793077,14.277788139418005,nircam3
12132,9414.502,4213.1265,30.1612,0.1354,30.7413,0.2469,0.35,0.1479516,0.01844993,0.08671269,0.01971666,214.7469142,52.834113,8.019087335290703,nircam3
12144,5955.7744,4610.4072,29.1119,0.0387,29.0181,0.0504,0.521,0.3888969,0.01387083,0.4239953,0.0196816,214.7735643,52.858251,28.037031670058674,nircam3
12202,468.9693,4298.7402,29.4443,0.1318,30.2116,0.1514,0.374,0.2863562,0.03476588,0.1412409,0.01969162,214.8258253,52.891454,8.236702191919203,nircam3
59,3534.3831,183.8863,28.6995,0.0371,28.7386,0.039,0.537,0.5686101,0.01940096,0.5484843,0.01970994,214.7971742,52.7671281,29.30834865903543,nircam4
68,1472.5079,189.0495,29.4576,0.0656,29.3272,0.0672,0.116,0.2828446,0.01709395,0.3189553,0.01973003,214.8154846,52.7802632,16.546474044910628,nircam4
144,2444.8389,184.8645,29.8359,0.0528,29.566,0.0836,0.706,0.1996412,0.009700481,0.2559714,0.01971496,214.8068669,52.7740599,20.58054646980907,nircam4
147,539.0833,191.088,28.0779,0.0382,29.0317,0.0512,0.454,1.007988,0.03546773,0.4187407,0.0197501,214.8237806,52.786207,28.4198622240555,nircam4
169,3899.8884,194.1693,29.2197,0.048,29.1478,0.0569,0.776,0.3521442,0.0155781,0.3762461,0.01971496,214.7938119,52.7648597,22.6050802087546,nircam4
183,651.5616,200.2585,28.3924,0.0442,29.2397,0.062,0.158,0.7544529,0.03067561,0.3457118,0.01972501,214.8226818,52.7855416,24.594552479966985,nircam4
187,3985.8438,205.6127,29.8456,0.0635,29.8264,0.1063,0.745,0.1978575,0.01156374,0.2013996,0.01971999,214.7929264,52.7643749,17.110165050407566,nircam4
210,4514.1592,213.602,29.5632,0.0432,28.9294,0.0465,0.751,0.2566521,0.01019826,0.4600875,0.01971999,214.7881393,52.7610588,25.166263656741442,nircam4
215,4513.8115,222.1274,29.2311,0.0546,29.0281,0.051,0.633,0.3484876,0.01752316,0.4201007,0.01972501,214.7880528,52.7611069,19.88725777770676,nircam4
244,7994.9443,305.0493,29.4613,0.0831,29.4332,0.0741,0.742,0.2819065,0.02157647,0.2892914,0.01973003,214.7562101,52.7394152,13.065459734609044,nircam4
274,4512.7056,252.2516,29.1209,0.0564,29.0855,0.0538,0.789,0.3856936,0.02002899,0.398498,0.01974007,214.7877461,52.7612762,19.256767315775786,nircam4
280,4501.4888,257.5381,29.054,0.0486,28.9515,0.0476,0.704,0.4101998,0.01835147,0.4508377,0.01974007,214.7877904,52.761376,22.352421904076348,nircam4
284,4512.9219,256.6109,29.7007,0.0641,29.2184,0.0607,0.715,0.226106,0.01335266,0.3525612,0.01971496,214.7876984,52.7612983,16.93340502940987,nircam4
297,6876.5864,279.2606,28.349,0.0612,29.4325,0.0739,0.01,0.7852692,0.04422981,0.2894797,0.01970994,214.7664276,52.7463894,17.754297384501537,nircam4
298,4512.9204,270.5684,28.7448,0.0497,29.1124,0.0551,0.729,0.5453821,0.02498054,0.3887116,0.01971999,214.7875518,52.7613735,21.83227824538621,nircam4
313,2352.5586,286.1151,27.1486,0.0196,28.496,0.0312,0.001,2.372201,0.04286506,0.6858059,0.01970994,214.8066249,52.7751921,55.341133314639,nircam4
336,3521.8093,280.5901,29.4903,0.0757,29.4596,0.0757,0.472,0.2744642,0.01914398,0.2823394,0.01968983,214.7962701,52.7677291,14.336841137527305,nircam4
349,2359.5649,291.7461,29.0814,0.0607,29.2575,0.063,0.37,0.3999731,0.02236542,0.3400966,0.01972501,214.8065033,52.7751779,17.88354969412602,nircam4
361,8114.2388,291.3648,30.5157,0.1219,30.1037,0.1374,0.355,0.1067413,0.01198438,0.1559948,0.01974007,214.7552931,52.7385827,8.906701890293865,nircam4
368,9450.2178,305.0399,29.9179,0.1036,30.0615,0.1321,0.407,0.1851092,0.01766391,0.1621807,0.01972501,214.7432721,52.7301579,10.479514444989812,nircam4
370,609.3664,297.7073,28.4713,0.0452,28.9583,0.0478,0.059,0.7016265,0.02918641,0.448003,0.01970491,214.8220338,52.786335,24.039493038026947,nircam4
417,4500.1875,310.5444,29.8061,0.0897,29.5474,0.0822,0.653,0.2051994,0.01694847,0.2603928,0.01971999,214.7872451,52.7616698,12.107252159044444,nircam4
438,9575.0078,323.1514,29.6326,0.0834,29.6596,0.0912,0.727,0.2407489,0.01848592,0.2348301,0.01971999,214.7419727,52.7294615,13.02336589144603,nircam4
536,2614.76,365.3007,29.5168,0.0797,29.463,0.0761,0.038,0.2678546,0.01965458,0.2814532,0.01971496,214.8034574,52.773952,13.628100931182452,nircam4
593,4510.7378,388.0701,29.3113,0.0629,29.3679,0.0697,0.689,0.323651,0.01875192,0.3072148,0.01973003,214.7863365,52.7620203,17.259619281652228,nircam4
738,172.3385,473.6631,29.0387,0.0266,28.7604,0.0399,0.78,0.416024,0.01019826,0.5375695,0.01973003,214.8240794,52.7900609,40.79362557926548,nircam4
780,8142.6636,491.7988,27.5689,0.0325,28.7177,0.0383,0.0,1.610876,0.0481951,0.559151,0.01971999,214.7529346,52.739481,33.42406178221437,nircam4
818,7532.2373,518.6473,28.6928,0.0681,29.4438,0.0748,0.452,0.5721356,0.03588419,0.2864862,0.01973003,214.7580808,52.7435083,15.943946345173178,nircam4
867,4507.8564,547.4221,30.3915,0.0808,30.1742,0.1465,0.634,0.1196782,0.008901772,0.1461912,0.01972501,214.7846877,52.762897,13.444311986422477,nircam4
1047,7336.748,624.0424,29.1666,0.0682,29.2756,0.064,0.615,0.3697952,0.02323431,0.3344781,0.01971999,214.7587121,52.7453191,15.915910565022157,nircam4
1078,179.7695,632.2255,28.5014,0.0497,29.1678,0.058,0.421,0.6824231,0.03123558,0.3693952,0.01971999,214.8223467,52.7908683,21.84762056603399,nircam4
1092,164.1751,645.5895,29.3395,0.0759,29.4777,0.0771,0.379,0.3153706,0.02203076,0.2776638,0.01971999,214.8223452,52.7910395,14.315012282826375,nircam4
1121,2424.2432,660.2962,30.3343,0.0939,30.1336,0.1412,0.663,0.1261449,0.0109024,0.1517619,0.01972501,214.8020542,52.7767525,11.57037899911946,nircam4
1133,4505.6084,669.4244,29.9357,0.0563,29.5322,0.0811,0.791,0.1820991,0.009441755,0.2640781,0.01971999,214.7834257,52.7635684,19.286573311847217,nircam4
1183,8624.0869,676.4237,28.4623,0.0617,29.0702,0.0529,0.002,0.7074575,0.04018142,0.404153,0.01970491,214.7467144,52.7374124,17.606582843513245,nircam4
1245,4505.0571,702.5726,29.0921,0.0559,29.1397,0.0565,0.697,0.3960611,0.02039652,0.3790776,0.01971999,214.7830823,52.7637505,19.4180722986078,nircam4
1266,7138.7573,721.5482,30.1353,0.107,29.8475,0.1085,0.341,0.1515234,0.01492873,0.1975224,0.01973003,214.7594486,52.7471034,10.149785011852984,nircam4
