combo_index,num_sources,veto_snr,star_cut,color1_min,color2_max,color2_min,color3_intercept,color3_slope,snr_threshold,recovered_ids
165,7,2,0.8,0.2,1.0,-1.5,1.0,0.3,2,"4010,11659,12779,1424,8216,9562,5726"
166,7,2,0.8,0.2,1.0,-1.5,1.0,0.3,3,"4010,11659,12779,1424,8216,9562,5726"
167,7,2,0.8,0.2,1.0,-1.5,1.0,0.3,4,"4010,11659,12779,1424,8216,9562,5726"
168,7,2,0.8,0.2,1.0,-1.5,1.0,0.3,5,"4010,11659,12779,1424,8216,9562,5726"
169,7,2,0.8,0.2,1.0,-1.5,1.0,0.3,6,"4010,11659,12779,1424,8216,9562,5726"
170,7,2,0.8,0.2,1.0,-1.5,1.0,0.44,2,"4010,11659,12779,1424,8216,9562,5726"
171,7,2,0.8,0.2,1.0,-1.5,1.0,0.44,3,"4010,11659,12779,1424,8216,9562,5726"
172,7,2,0.8,0.2,1.0,-1.5,1.0,0.44,4,"4010,11659,12779,1424,8216,9562,5726"
173,7,2,0.8,0.2,1.0,-1.5,1.0,0.44,5,"4010,11659,12779,1424,8216,9562,5726"
174,7,2,0.8,0.2,1.0,-1.5,1.0,0.44,6,"4010,11659,12779,1424,8216,9562,5726"
175,7,2,0.8,0.2,1.0,-1.5,1.0,0.6,2,"4010,11659,12779,1424,8216,9562,5726"
176,7,2,0.8,0.2,1.0,-1.5,1.0,0.6,3,"4010,11659,12779,1424,8216,9562,5726"
177,7,2,0.8,0.2,1.0,-1.5,1.0,0.6,4,"4010,11659,12779,1424,8216,9562,5726"
178,7,2,0.8,0.2,1.0,-1.5,1.0,0.6,5,"4010,11659,12779,1424,8216,9562,5726"
179,7,2,0.8,0.2,1.0,-1.5,1.0,0.6,6,"4010,11659,12779,1424,8216,9562,5726"
180,14,2,0.8,0.2,1.0,-1.0,0.3,0.3,2,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
181,14,2,0.8,0.2,1.0,-1.0,0.3,0.3,3,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
182,14,2,0.8,0.2,1.0,-1.0,0.3,0.3,4,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
183,14,2,0.8,0.2,1.0,-1.0,0.3,0.3,5,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
184,14,2,0.8,0.2,1.0,-1.0,0.3,0.3,6,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
185,14,2,0.8,0.2,1.0,-1.0,0.3,0.44,2,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
186,14,2,0.8,0.2,1.0,-1.0,0.3,0.44,3,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
187,14,2,0.8,0.2,1.0,-1.0,0.3,0.44,4,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
188,14,2,0.8,0.2,1.0,-1.0,0.3,0.44,5,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
189,14,2,0.8,0.2,1.0,-1.0,0.3,0.44,6,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
190,12,2,0.8,0.2,1.0,-1.0,0.3,0.6,2,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
191,12,2,0.8,0.2,1.0,-1.0,0.3,0.6,3,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
192,12,2,0.8,0.2,1.0,-1.0,0.3,0.6,4,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
193,12,2,0.8,0.2,1.0,-1.0,0.3,0.6,5,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
194,12,2,0.8,0.2,1.0,-1.0,0.3,0.6,6,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
195,11,2,0.8,0.2,1.0,-1.0,0.65,0.3,2,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
196,11,2,0.8,0.2,1.0,-1.0,0.65,0.3,3,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
197,11,2,0.8,0.2,1.0,-1.0,0.65,0.3,4,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
198,11,2,0.8,0.2,1.0,-1.0,0.65,0.3,5,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
199,11,2,0.8,0.2,1.0,-1.0,0.65,0.3,6,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
200,10,2,0.8,0.2,1.0,-1.0,0.65,0.44,2,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
201,10,2,0.8,0.2,1.0,-1.0,0.65,0.44,3,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
202,10,2,0.8,0.2,1.0,-1.0,0.65,0.44,4,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
203,10,2,0.8,0.2,1.0,-1.0,0.65,0.44,5,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
204,10,2,0.8,0.2,1.0,-1.0,0.65,0.44,6,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
205,10,2,0.8,0.2,1.0,-1.0,0.65,0.6,2,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
206,10,2,0.8,0.2,1.0,-1.0,0.65,0.6,3,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
207,10,2,0.8,0.2,1.0,-1.0,0.65,0.6,4,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
208,10,2,0.8,0.2,1.0,-1.0,0.65,0.6,5,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
209,10,2,0.8,0.2,1.0,-1.0,0.65,0.6,6,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
210,7,2,0.8,0.2,1.0,-1.0,1.0,0.3,2,"4010,11659,12779,1424,8216,9562,5726"
211,7,2,0.8,0.2,1.0,-1.0,1.0,0.3,3,"4010,11659,12779,1424,8216,9562,5726"
212,7,2,0.8,0.2,1.0,-1.0,1.0,0.3,4,"4010,11659,12779,1424,8216,9562,5726"
213,7,2,0.8,0.2,1.0,-1.0,1.0,0.3,5,"4010,11659,12779,1424,8216,9562,5726"
