pointing,source_id,filter,x_image,y_image,flux_ujy,sex_snr,nmad_snr,local_rms_snr,weighted_rms_snr,global_stats_snr,sex_flux,nmad_flux,nmad_error,local_rms_error,weighted_rms_error,global_stats_error
nircam3,9992,F814W,578.233,3744.6199,0.004828349040542986,3.0422777146381557,0,3.2717105793596817,1.6699029454170156,0.0587034752233762,0.03166716,,,0.009679083535010513,0.018963472917675972,0.5394426800032084
nircam3,9992,F115W,578.233,3744.6199,0.002545353544155258,5.221444351531978,0,5.117997631590881,1.5705710398424926,0.2613625619230738,0.120325,,,0.02351017109841806,0.07661226391792297,0.4603758056037687
nircam3,9992,F150W,578.233,3744.6199,0.009814665380191578,16.82026902981341,0,14.121436178954477,5.161656845568486,0.8043040188768398,0.4639629,,,0.03285522053992322,0.08988642692565918,0.5768501575410442
nircam3,9992,F200W,578.233,3744.6199,0.00928833724837011,18.567016935535023,0,18.02978059731015,5.827555856474226,1.129717308561155,0.4390821,,,0.024353158244505003,0.07534584403038025,0.38866546229979376
nircam3,9992,F277W,578.233,3744.6199,0.010683908110742938,25.661231810421913,0,23.713311334719904,6.608968416424752,20.602163239776864,0.5050541,,,0.021298337160551836,0.07641950994729996,0.02451461500047167
nircam3,9992,F356W,578.233,3744.6199,0.023420573782263553,53.107809409051406,0,51.05228866849116,16.248346798033797,14.639911301069203,1.107147,,,0.021686530200228177,0.06813905388116837,0.07562525327043076
nircam3,9992,F410M,578.233,3744.6199,0.04549533088071943,47.259541897506615,0,39.843361350490945,14.593185452964864,24.352478916628645,2.150674,,,0.05397822691416822,0.147375226020813,0.08831437683871483
nircam3,9992,F444W,578.233,3744.6199,0.05696631328842501,73.07347168151462,0,70.3845752218118,24.55600565568278,52.54393243034792,2.692935,,,0.03826030052058159,0.10966502875089645,0.05125111264882479
nircam4,315,F606W,3596.1318,286.2253,0.0008138351809173132,0.4678488997136805,0,0.5113353437854593,0.2752857793907054,0.0024378867030246287,0.008916793,,,0.017438248907240047,0.03239104151725769,3.657591219861507
nircam4,315,F814W,3596.1318,286.2253,0.004907477333120235,2.4030816003655455,0,1.956384695770537,1.2703909197073062,0.005956630429719327,0.03218613,,,0.01645184102573612,0.025335611775517464,5.403412278091691
